pid;question;translation;image;choices;answer;img_height;img_width;difficulty;set
54;In the figure above, the ratio of the length of line AB to the length of line AC is 2 : 5. If AC = 25, what is the length of line AB?;In der gezeigten Abbildung ist das Verhältnis der Längen der Abschnitte AB zu AC 2:5. Wenn AC die länge 25 hat, wie lang ist dann AB?;54.png;['8', '10', '15', '18', '20'];10;310;433;difficult;d4ff4bd9-8dd2-4894-b3ce-bc027713d93d
273;One diagonal of a rhombus is twice as long as the other diagonal. If the area of the rhombus is 169 square millimeters, what are the lengths of the diagonals?;Eine Diagonale des Rhombus ist doppelt so lang wie die andere. Wenn die Fläche des Rhombus 169 cm^2 beträgt, wie lang sind die Diagonalen?;273.png;['6.5', '13', '26', '52'];26;237;347;medium;
280;In the figure above, ABCDEF is a regular hexagon, and its center is point O. What is the value of x?;In der Abbildung ist ABCDEF ein regelmäßiges Sechseck mit dem Mittelpunkt O. Was ist der Wert des Winkels x?;280.png;['80', '60', '40', '30', '20'];60;123;130;easy;
318;Find the area of the figure. Round to the nearest tenth if necessary.;Was ist die Fläche der Figur in der Abbildung? Runde auf das nächste Zehntel, wenn notwendig.;318.png;['191.5', '1128', '2256', '4512'];2256;175;239;easy;
355;As shown in the figure, the parallel lines a and b are intercepted by the straight line c. If ∠1 = 50.0, then the degree of ∠2 is ();Wie in der Abbildung gezeigt, werden die Parallelen a und b von der Geraden c geschnitten. Wenn ∠1 = 50.0, wie groß ist dann ∠2?;355.png;['150°', '130°', '110°', '100°'];130°;110;157;easy;
455;If x = 32 and r = 18, what is the length of the arc shown in the figure above?;Wenn x = 32 und r = 18, was ist die Länge des Kreisabschnittes der in der Abbildung eingezeichnet ist?;455.png;['16*\\pi/5', '32*\\pi/5', '36*\\pi', '288*\\pi/5', '576*\\pi'];16*\pi/5;353;575;difficult;d4ff4bd9-8dd2-4894-b3ce-bc027713d93d
478;As shown in the figure, in the diamond ABCD, two diagonal lines AC = 12.0, BD = 16.0, then the edge length of this diamond is ();Wie in der Abbildung gezeigt, haben die Diagonalen des Diamanaten ABCD die folgenden Längen: AC = 12, BD = 16. Wie lang sind die Kanten des Diamenten?;478.png;['10', '8', '6', '5'];10;97;125;medium;d4ff4bd9-8dd2-4894-b3ce-bc027713d93d
505;As shown in the figure, in the circle O with a radius of 5.0, the length of the chord AB is 8.0, then the distance from the center O to the chord AB is ();Gegeben der Kreis O hat einen Radius von 5 und die Länge der Linie AB ist 8. Wie groß ist die Distans von der Mittes des Kreises O zure Linie AB?;505.png;['3', '4', '5', '6'];3;92;100;difficult;32d38798-d518-4e85-97dd-cced67301503
549;As shown in the figure, PA and PB are tangent to ⊙O to A and B respectively. Point C and point D are the moving points on line segments PA and PB, and CD always remains tangent to circle O. If PA = 8.0, then perimeter of △PCD is ();Wie in der Abbildung gezeigt, sind PA und BA Tangenten des Kreises O zu den Punkten A und B. Die Punkte C und D bewegen sich auf den Linien PA und PB so dass CD immer eine Tangente des Kreises O ist. Wenn PA = 8, dann ist der Umfang des Dreiecks PCD gleich?;549.png;['8', '12', '16', '不能确定'];16;111;192;difficult;
599;In the figure above, AC = 6 and BC = 3. Point P lies on line AB between A and B such that line CP is perpendicular to line AB. Which of the following could be the length of line CP?;In der gegebenen Abbildubng sind AC = 6 und BC = 3. Der Punkt P liegt auf der Linie AB zwischen A und B, sodass die Linie CP rechtwinklig zu AB ist. Wie lang ist die Linie CP?;599.png;['2', '4', '5', '7', '8'];2;340;393;difficult;32d38798-d518-4e85-97dd-cced67301503
669;As shown in the figure, line segment AB = 10.0, M is the midpoint of line segment AB, C is the midpoint of line segment MB, N is a point of line segment AM, and MN = 1.0, the length of line segment NC ();Die in der Abbildung gezeigte Linie AB hat eine Länge von 10. M ist die Mitte der Linie AB, C ist die Mitte des Abschnittes MB, N ist ein Punkt auf der Linie AM und MN = 1. Wie lang ist der Abschnitt NC?;669.png;['2', '2.5', '3', '3.5'];3.5;18;187;medium;32d38798-d518-4e85-97dd-cced67301503
690;In the diagram above, lines M and N are parallel. All of the following are true except;Die in der Abbildung gezeigten Linien M und N sind Parallel. Welche der folgenden Aussagen ist nicht wahr?;690.png;['a + b = j + l', 'g = h', 'c + f = f + b', 'g + e + f + h = 360', 'd + e = f + j'];d + e = f + j;558;625;easy;
708;As shown in the figure, the light source P is directly above the crossbar AB, the shadow of AB under the light is CD, AB ∥ CD, AB = 2.0, CD = 5.0, the distance between point P and CD is 3.0, then the distance between AB and CD is ().;Wie in der Abbildung gezeigt, liegt die Lichtquelle P unmittelbar über dem Balken AB. Der von AB geworfene Schatten ist die Linie CD. Es gilt AB || CD, AB = 2, CD = 5 und der Abstand von P zu CD ist 3. Wie groß ist der Abstand von AB und CD?;708.png;['\\frac{6}{5}', '\\frac{7}{6}', '\\frac{9}{5}', '\\frac{15}{2}'];\frac{9}{5};110;156;medium;
798;In the figure above, l || m. Which of the following must equal 180?;Für die Abbildung gilt: l || m. Welche der Folgenden gleichung muss eine Summe von 180 Grad ergeben?;798.png;['k + n + r', 'k + p + s', 'n + p + s', 'n + p + t', 'r + s + t'];k + p + s;372;371;easy;
855;Find $x$ so that $a ∥ b$.;Finde x sodass für die Abbildung gilt: a || b;855.png;['2.5', '14', '15', '16'];14;250;536;easy;
