participant_id, UUID, group
01, f971d5ae-a9ff-4a23-a92b-7650ad697dfc, E
02, 7d8c9331-dd8c-4df6-8f6c-9e7a16d008d9, B
03, fa69270e-20e0-4849-bae1-473de60495a4, B
04, 8d7e51b5-77bd-4474-8bcb-127fa69cd98c, E
05, f41a9ecb-7000-4ae1-8b8e-1b39ea598476, B
07, adbea003-c17e-463f-8ae0-c397f6f3eec1, E
08, 74463bbb-d158-461a-82f3-a030a108e157, E
09, c4806f2c-dd6d-425c-a23d-62d29b4a1e5b, E
10, dbc1d144-1c2c-42f5-b63c-e84c446a9189, E
11, c452fa6e-d3a9-4756-ac68-f9349fb5e059, B
12, 473ee59a-2809-485a-a7ca-5d2f8f776bca, B
13, 40c36240-b41c-41fd-8502-160341017569, B
15, de51720a-9929-4aa5-8d89-065b3c052f4c, E
